id_films,names_films,types_film,rating_films,years_films,links_films
3576,Латинская Америка ,"драма, триллер",0,2021 ,https://baskino.org/films/15987-latinskaja-amerika.html
3577,Звезда Лоры ,семейный,0,2021 ,https://baskino.org/films/15983-zvezda-lory.html
3578,Исчезновение в ночь на Хэллоуин ,"комедия, приключения, семейный",0,2021 ,https://baskino.org/films/15980-ischeznovenie-v-noch-na-hjellouin.html
3579,Девушка на бульдозере ,драма,0,2021 ,https://baskino.org/films/15979-devushka-na-buldozere.html
3580,Коробка памяти ,драма,0,2021 ,https://baskino.org/films/15973-korobka-pamjati.html
3581,Эмигранты ,"драма, история",0,2021 ,https://baskino.org/films/15967-jemigranty.html
3582,Дочери ,"драма, комедия",0,2021 ,https://baskino.org/films/15965-docheri.html
3583,Омерта 6.12 ,"боевик, триллер",0,2021 ,https://baskino.org/films/15964-omerta-612.html
3584,Иви ,триллер,0,2021 ,https://baskino.org/films/15963-ivi.html
3585,Правда или действие ,триллер,10,2021 ,https://baskino.org/films/15962-pravda-ili-dejstvie.html
3586,Мир в шоколаде ,"драма, комедия",0,2021 ,https://baskino.org/films/15961-mir-v-shokolade.html
3587,Биомасса ,ужасы,0,2021 ,https://baskino.org/films/15954-biomassa.html
3588,Смертельный выбор ,ужасы,0,2022 ,https://baskino.org/films/15913-smertelnyj-vybor.html
3589,Неломающийся меч ,приключения,0,2022 ,https://baskino.org/films/15912-nelomajuschijsja-mech.html
3590,Бри и конкурс выпечки ,"комедия, семейный",0,2022 ,https://baskino.org/films/15911-bri-i-konkurs-vypechki.html
3591,Избранник божий ,драма,0,2022 ,https://baskino.org/films/15898-izbrannik-bozhij.html
3592,Обратимая реальность ,"триллер, фантастика",0,2022 ,https://baskino.org/films/15896-obratimaja-realnost.html
3593,Книга дьявола ,ужасы,0,2022 ,https://baskino.org/films/15894-kniga-djavola.html
3594,Тревога ,триллер,0,2022 ,https://baskino.org/films/15879-trevoga.html
3595,Такие мужчины для всех ,драма,0,2022 ,https://baskino.org/films/15878-takie-muzhchiny-dlja-vseh.html
3596,Тайна Мэрилин Монро: Неуслышанные записи ,"биография, документальный",0,2022 ,https://baskino.org/films/15877-tajna-mjerilin-monro-neuslyshannye-zapisi.html
3597,Полярный медведь ,документальный,0,2022 ,https://baskino.org/films/15875-poljarnyj-medved.html
3598,V — значит возмездие ,триллер,0,2022 ,https://baskino.org/films/15868-v-znachit-vozmezdie.html
