id_books,names_books,authors_books,types_books,rating_books,links_books
besy_Достоевский_Федор_Михайлович,Бесы,Достоевский Федор Михайлович,Классическая русская литература,4.7,https://book24.ru/product/besy-5422017/
shah_i_mat_Хейзелвуд_Али,Шах и мат,Хейзелвуд Али,Современные любовные романы,4.4,https://book24.ru/product/shakh-i-mat-6784435/
