id_meals,meals_names,calories,proteins,fats,carbohydrates
80,Крекеры с цельнозерновой пшеничной мукой,463.0,7.29,17.84,63.47
81,"Крекеры, из муки высшего сорта",439.0,9.2,14.1,66.1
82,Ксилит пищевой,367.0,0.0,0.0,97.9
83,"Кукурузный сироп, светлый",283.0,0.0,0.2,76.79
84,"Кукурузный сироп, темный",286.0,0.0,0.0,77.59
85,Лукум сбивной,316.0,0.8,0.7,79.4
86,Мармелад,321.0,0.1,0.0,79.4
87,Мармелад желейный,321.0,0.1,0.0,79.4
88,"Мармелад, фруктово-ягодный глазированный шоколадом",349.0,1.5,9.2,64.2
89,Мед пчелиный,328.0,0.8,0.0,80.3
90,"Меласса, черная патока",290.0,0.0,0.1,74.73
91,"Мороженне, ванильное",207.0,3.5,11.0,22.9
92,"Мороженое, ванильное, жирное, 16.2% жира",249.0,3.5,16.2,22.29
93,"Мороженое, ванильное, лайт, без доб. сахара, 7.45% жира",169.0,3.97,7.45,21.42
94,"Мороженое, ванильное, лайт, магкое морожено, 2.6 жир",126.0,4.9,2.6,21.8
95,"Мороженое, ванильное, легкое",180.0,4.78,4.83,29.16
96,"Мороженое, ванильное, обезжиренное, 0% жира",138.0,4.48,0.0,29.06
97,"Мороженое, клубничное, 8.4% жира",192.0,3.2,8.4,26.7
98,"Мороженое, обычное, низкоуглеводное, ванильное, 12.7% жира",216.0,3.17,12.7,17.43
99,"Мороженое, обычное, низкоуглеводное, шоколадное, 12.7% жира",237.0,3.8,12.7,22.0
100,"Мороженое, французское, ванильное, мягкое, 13% жира",222.0,4.1,13.0,21.5
101,"Мороженое, шоколадное, 11% жира",216.0,3.8,11.0,27.0
102,"Мороженое, шоколадное, жирное, 17% жира",251.0,4.72,16.98,18.88
103,"Мороженое, шоколадное, лайт, 7.19 жир",187.0,5.0,7.19,24.9
104,"Мороженое, шоколадное, лайт, без доб. сахара, 5.74% жира",173.0,3.54,5.74,25.89
105,Пастила,324.0,0.5,0.0,80.0
106,"Пастила, глазированная шоколадом",402.0,1.9,12.0,70.9
107,Патока кукурузная,316.0,0.0,0.3,78.3
108,"Пектин (*в т. ч. РПВ-69,9)",52.0,3.5,0.0,9.3
109,"Пектин, жидкий",11.0,0.0,0.0,0.0
110,"Печенье овсяное, промышленного изготовления, обычное",450.0,6.2,18.1,65.9
111,Печенье сахарное из муки первого сорта,407.0,7.4,9.4,73.1
112,Печенье сдобное,451.0,6.4,16.8,68.5
113,"Печенье сливочное, промышленного изготовления, необогащенное",467.0,6.1,18.8,68.1
114,"Печенье сливочное, промышленного изготовления, обогащенное",467.0,6.1,18.8,68.1
115,"Печенье, ванильные вафли, с повышенным содерж. жира, 19,4%",455.0,4.9,16.41,71.0
116,"Печенье, ванильные вафли, с пониженным содерж. жира, 15.2%",441.0,5.0,15.2,71.7
117,"Печенье, ванильный сэндвич с кремовой начинкой",483.0,4.5,20.0,70.6
